name,symbol,logo,historicalFile,url
Seigniorage Shares,SHARE,SHARE.png,SHARE.csv,/currencies/seigniorage-shares/
Save Environment Token,SET,SET.png,SET.csv,/currencies/save-environment-token/
Themis,GET,GET.png,GET.csv,/currencies/themis/
Moneynet,MNC,MNC.png,MNC.csv,/currencies/moneynet/
Digital Insurance Token,DIT,DIT.png,DIT.csv,/currencies/digital-insurance-token/
Eureka Coin,ERK,ERK.png,ERK.csv,/currencies/eureka-coin/
 TOKEN,ZUM,ZUM.png,ZUM.csv,/currencies/zum-token/
Freicoin,FRC,FRC.png,FRC.csv,/currencies/freicoin/
Project Inverse,XIV,XIV.png,XIV.csv,/currencies/project-inverse/
Stipend,SPD,SPD.png,SPD.csv,/currencies/stipend/
Rate3,RTE,RTE.png,RTE.csv,/currencies/rate3/
ANT,ATL,ATL.png,ATL.csv,/currencies/atlant/
HELP,HOMI,HOMI.png,HOMI.csv,/currencies/homihelp/
Po.et,POE,POE.png,POE.csv,/currencies/poet/
extraDNA,XDNA,XDNA.png,XDNA.csv,/currencies/extradna/
Qbao,QBT,QBT.png,QBT.csv,/currencies/qbao/
Wrapped Basic CryptoKitties,WCK,WCK.png,WCK.csv,/currencies/wrapped-cryptokitties/
Wolves of Wall Street,WOWS,WOWS.png,WOWS.csv,/currencies/wolves-of-wall-street/
Netko,NETKO,NETKO.png,NETKO.csv,/currencies/netko/
 Token,TON,TON.png,TON.csv,/currencies/tontoken/
2gather,TWO,TWO.png,TWO.csv,/currencies/2gather/
AI Doctor,AIDOC,AIDOC.png,AIDOC.csv,/currencies/aidoc/
Gourmet Galaxy,GUM,GUM.png,GUM.csv,/currencies/gourmet-galaxy/
Kobocoin,KOBO,KOBO.png,KOBO.csv,/currencies/kobocoin/
Crypto Sports,CSPN,CSPN.png,CSPN.csv,/currencies/crypto-sports/
.finance,KIMCHI,KIMCHI.png,KIMCHI.csv,/currencies/kimchi-finance/
Curio,CUR,CUR.png,CUR.csv,/currencies/curio/
Smartshare,SSP,SSP.png,SSP.csv,/currencies/smartshare/
ADS,QUIN,QUIN.png,QUIN.csv,/currencies/quinads/
Showcase,SHO,SHO.png,SHO.csv,/currencies/showcase/
Bobo Cash,BOBO,BOBO.png,BOBO.csv,/currencies/bobo-cash/
Eternity,ENT,ENT.png,ENT.csv,/currencies/eternity/
